p1,p2,theta1,theta2,log_t1,log_t2
18,3,0.506798,29.0859,-0.679642,3.37025
18,4,0.506798,22.9987,-0.679642,3.13544
18,5,0.506798,18.304,-0.679642,2.90712
18,6,0.506798,14.6594,-0.679642,2.68508
18,7,0.506798,11.8115,-0.679642,2.46907
18,8,0.506798,9.57182,-0.679642,2.25882
18,9,0.506798,7.79945,-0.679642,2.05405
18,10,0.506798,6.38831,-0.679642,1.85447
18,11,0.506798,5.25816,-0.679642,1.65978
18,12,0.506798,4.34792,-0.679642,1.4697
18,13,0.506798,3.61085,-0.679642,1.28394
18,14,0.506798,3.01092,-0.679642,1.10224
18,15,0.506798,2.52023,-0.679642,0.924349
18,16,0.506798,2.11703,-0.679642,0.750014
18,17,0.506798,1.78428,-0.679642,0.579014
18,18,0.506798,1.50853,-0.679642,0.411139
18,19,0.506798,1.27915,-0.679642,0.246194
18,20,0.506798,1.08763,-0.679642,0.0839986
19,0,0.432027,61.2697,-0.839268,4.11528
19,1,0.432027,47.4684,-0.839268,3.86006
19,2,0.432027,37.0308,-0.839268,3.61175
19,3,0.432027,29.0859,-0.839268,3.37025
19,4,0.432027,22.9987,-0.839268,3.13544
19,5,0.432027,18.304,-0.839268,2.90712
19,6,0.432027,14.6594,-0.839268,2.68508
19,7,0.432027,11.8115,-0.839268,2.46907
19,8,0.432027,9.57182,-0.839268,2.25882
19,9,0.432027,7.79945,-0.839268,2.05405
19,10,0.432027,6.38831,-0.839268,1.85447
19,11,0.432027,5.25816,-0.839268,1.65978
19,12,0.432027,4.34792,-0.839268,1.4697
19,13,0.432027,3.61085,-0.839268,1.28394
19,14,0.432027,3.01092,-0.839268,1.10224
19,15,0.432027,2.52023,-0.839268,0.924349
19,16,0.432027,2.11703,-0.839268,0.750014
19,17,0.432027,1.78428,-0.839268,0.579014
19,18,0.432027,1.50853,-0.839268,0.411139
19,19,0.432027,1.27915,-0.839268,0.246194
19,20,0.432027,1.08763,-0.839268,0.0839986
20,0,0.368853,61.2697,-0.997356,4.11528
20,1,0.368853,47.4684,-0.997356,3.86006
20,2,0.368853,37.0308,-0.997356,3.61175
20,3,0.368853,29.0859,-0.997356,3.37025
20,4,0.368853,22.9987,-0.997356,3.13544
20,5,0.368853,18.304,-0.997356,2.90712
20,6,0.368853,14.6594,-0.997356,2.68508
20,7,0.368853,11.8115,-0.997356,2.46907
20,8,0.368853,9.57182,-0.997356,2.25882
20,9,0.368853,7.79945,-0.997356,2.05405
20,10,0.368853,6.38831,-0.997356,1.85447
20,11,0.368853,5.25816,-0.997356,1.65978
20,12,0.368853,4.34792,-0.997356,1.4697
20,13,0.368853,3.61085,-0.997356,1.28394
20,14,0.368853,3.01092,-0.997356,1.10224
20,15,0.368853,2.52023,-0.997356,0.924349
20,16,0.368853,2.11703,-0.997356,0.750014
20,17,0.368853,1.78428,-0.997356,0.579014
20,18,0.368853,1.50853,-0.997356,0.411139
20,19,0.368853,1.27915,-0.997356,0.246194
20,20,0.368853,1.08763,-0.997356,0.0839986
