mode,mult,TF_Recalc(10:20-80),TF_Recalc(5:20-80),TF_Recalc(10:50-50),TF_Recalc(5:50-50),DP_Calc,DP_Sim,TF_Static_Sim(20-80),TF_Static_Sim(50-50),OF_Static_Sim,Seed
Exp_Gentle,0.6,142.52,141.774,139.665,140.404,163.156,164.301,320,320,133.782,18
Exp_Gentle,0.7,145.989,145.378,145.459,145.404,175.758,178.445,380,380,141.87,18
Exp_Gentle,0.8,145.46,145.049,140.583,141.322,161.663,161.883,420,420,133.527,18
Exp_Steep,0.6,230.298,233.408,231.772,230.788,255.731,256.405,320,320,227.37,18
Exp_Steep,0.7,300.076,298.254,300.897,299.397,321.962,322.916,380,380,293.748,18
Exp_Steep,0.8,245.635,248.299,246.322,245.745,292.879,291.453,440,440,250.17,18
Concave,0.6,72.328,71.93,73.124,72.0825,81.7667,82.2075,320,320,69.806,18
Concave,0.7,77.147,76.919,77.1915,76.3075,89.5152,88.939,380,380,75.495,18
Concave,0.8,80.724,80.428,80.496,80.4305,98.8524,99.47,420,420,79.506,18
Uniform,0.6,94.267,94.59,94.8755,94.0755,100.026,98.7855,320,320,91.707,19
Uniform,0.7,98.4685,98.81,98.1315,98.168,103.936,103.207,380,380,97.7145,19
Uniform,0.8,100.005,99.089,100.549,99.987,105.362,106.051,420,420,99.756,19
Linear,0.6,110.692,110.17,108.295,109.395,123.616,123.723,320,320,104.448,19
Linear,0.7,113.439,115.189,111.82,111.143,130.258,129.224,360,360,107.896,19
Linear,0.8,123.622,124.265,120.256,119.715,138.913,138.783,440,440,113.678,19
Exp_Gentle,0.6,130.089,131.102,129.351,128.667,144.92,146.179,320,320,121.14,19
Exp_Gentle,0.7,142.551,143.303,141.556,140.491,158.654,158.07,380,380,131.634,19
Exp_Gentle,0.8,143.307,146.202,141.148,141.984,163.305,161.351,440,440,134.048,19
Exp_Steep,0.6,255.079,256.806,256.539,256.78,274.372,273.031,320,320,250.34,19
Exp_Steep,0.7,265.545,263.728,258.419,258.836,284.21,285.152,380,380,248.328,19
Exp_Steep,0.8,299.706,300.1,294.287,299.449,327.304,326.818,440,440,286.708,19
Concave,0.6,68.84,68.745,68.1635,67.3355,75.4965,75.7135,300,300,65.45,19
Concave,0.7,83.025,82.1985,81.335,80.4305,92.2748,92.837,380,380,77.66,19
Concave,0.8,77.7805,78.135,78.0635,77.3875,85.5671,85.5325,420,420,76.2615,19
Uniform,0.6,91.053,91.6095,91.639,91.776,96.8706,97.2805,320,320,89.586,20
Uniform,0.7,104.377,105.81,105.169,105.062,110.732,111.401,380,380,103.695,20
Uniform,0.8,105.533,105.399,104.768,105.584,111.616,112.011,420,420,104.898,20
Linear,0.6,118.122,118.028,115.595,115.354,129.081,128.738,320,320,108.52,20
Linear,0.7,107.414,109.724,106.626,106.69,123.255,124.068,360,360,102.396,20
Linear,0.8,135.277,132.551,131.471,129.566,143.889,143.236,440,440,121.552,20
Exp_Gentle,0.6,139.111,136.518,133.768,134.372,152.357,153.041,300,300,123.981,20
Exp_Gentle,0.7,141.872,143.682,140.117,140.568,160.991,159.757,380,380,133.803,20
Exp_Gentle,0.8,148.358,150.49,145.937,144.846,170.615,171.898,420,420,137.448,20
Exp_Steep,0.6,274.891,275.012,275.022,275.583,296.126,296.532,320,320,275.74,20
